2291 EQ symbols
  60/2291 scanned, 18 liquid kept, 6s
  120/2291 scanned, 24 liquid kept, 11s
  180/2291 scanned, 38 liquid kept, 18s
  240/2291 scanned, 53 liquid kept, 31s
  300/2291 scanned, 72 liquid kept, 38s
  360/2291 scanned, 88 liquid kept, 47s
  420/2291 scanned, 107 liquid kept, 54s
  480/2291 scanned, 123 liquid kept, 62s
  540/2291 scanned, 134 liquid kept, 71s
  600/2291 scanned, 149 liquid kept, 83s
  660/2291 scanned, 159 liquid kept, 92s
  720/2291 scanned, 171 liquid kept, 100s
  780/2291 scanned, 188 liquid kept, 110s
  840/2291 scanned, 203 liquid kept, 118s
  900/2291 scanned, 221 liquid kept, 126s
  960/2291 scanned, 239 liquid kept, 133s
  1020/2291 scanned, 256 liquid kept, 140s
  1080/2291 scanned, 275 liquid kept, 148s
  1140/2291 scanned, 285 liquid kept, 159s
  1200/2291 scanned, 300 liquid kept, 170s
  1260/2291 scanned, 311 liquid kept, 177s
  1320/2291 scanned, 321 liquid kept, 184s
  1380/2291 scanned, 337 liquid kept, 191s
  1440/2291 scanned, 353 liquid kept, 206s
  1500/2291 scanned, 362 liquid kept, 217s
  1560/2291 scanned, 378 liquid kept, 224s
  1620/2291 scanned, 390 liquid kept, 232s
  1680/2291 scanned, 403 liquid kept, 240s
  1740/2291 scanned, 412 liquid kept, 252s
  1800/2291 scanned, 418 liquid kept, 262s
  1860/2291 scanned, 425 liquid kept, 270s
  1920/2291 scanned, 432 liquid kept, 278s
  1980/2291 scanned, 440 liquid kept, 285s
  2040/2291 scanned, 461 liquid kept, 296s
  2100/2291 scanned, 476 liquid kept, 307s
  2160/2291 scanned, 487 liquid kept, 318s
  2220/2291 scanned, 493 liquid kept, 327s
  2280/2291 scanned, 506 liquid kept, 336s
  2291/2291 scanned, 507 liquid kept, 340s
saved 507 names to D:\nabop\backtesting-unique-strategies\cache\nse_full_10y.pkl
