rows 522427, names 443, dates 2415, 2016-11-21..2026-08-21

=== composite macro_score decile ladder ===
  D1   S -0.046%/t-0.48/d1212  U -0.065%/t-0.79/d1211  T +0.064%/t+0.94/d 630
  D2   S -0.043%/t-0.48/d1205  U -0.193%/t-2.68/d1212  T +0.036%/t+0.69/d 630
  D3   S -0.109%/t-1.39/d1210  U -0.230%/t-3.16/d1212  T +0.105%/t+2.23/d 630
  D4   S -0.008%/t-0.09/d1210  U -0.118%/t-1.72/d1212  T -0.069%/t-1.58/d 630
  D5   S -0.103%/t-1.35/d1209  U -0.282%/t-4.15/d1212  T -0.075%/t-1.77/d 630
  D6   S +0.002%/t+0.03/d1210  U -0.079%/t-1.11/d1211  T +0.029%/t+0.67/d 630
  D7   S -0.020%/t-0.25/d1209  U -0.071%/t-1.02/d1212  T +0.037%/t+0.86/d 630
  D8   S +0.117%/t+1.45/d1208  U -0.219%/t-2.90/d1212  T +0.006%/t+0.12/d 630
  D9   S +0.150%/t+1.61/d1208  U -0.143%/t-1.90/d1212  T +0.070%/t+1.40/d 630
  D10  S -0.249%/t-2.50/d1210  U -0.092%/t-1.12/d1212  T +0.105%/t+1.65/d 630

=== per-factor: beta_f * move_f, top and bottom decile ===
  usdinr   D10 S -0.236%/t-2.30/d1184  U -0.064%/t-0.74/d1207  T +0.102%/t+1.59/d 630
  usdinr    D1 S -0.233%/t-2.50/d1184  U -0.224%/t-2.59/d1211  T +0.236%/t+4.01/d 630
  brent    D10 S -0.609%/t-6.40/d1212  U -0.174%/t-2.06/d1212  T +0.186%/t+3.08/d 630
  brent     D1 S -0.127%/t-1.35/d1212  U -0.273%/t-3.24/d1212  T +0.056%/t+0.96/d 630
  gold     D10 S -0.416%/t-4.41/d1212  U -0.284%/t-3.37/d1212  T +0.109%/t+1.70/d 630
  gold      D1 S -0.060%/t-0.61/d1212  U -0.379%/t-4.52/d1212  T +0.046%/t+0.70/d 630
  copper   D10 S -0.035%/t-0.34/d1212  U -0.216%/t-2.79/d1212  T +0.154%/t+2.21/d 630
  copper    D1 S -0.001%/t-0.01/d1212  U -0.212%/t-2.47/d1212  T +0.152%/t+2.35/d 630
  spx      D10 S -0.018%/t-0.17/d1211  U -0.265%/t-3.50/d1212  T +0.134%/t+2.03/d 630
  spx       D1 S -0.076%/t-0.78/d1212  U +0.184%/t+2.32/d1211  T +0.167%/t+2.52/d 630
  ndx      D10 S +0.048%/t+0.48/d1212  U -0.358%/t-4.68/d1212  T +0.066%/t+0.93/d 630
  ndx       D1 S -0.403%/t-4.33/d1212  U +0.019%/t+0.24/d1212  T +0.049%/t+0.70/d 630
  dxy      D10 S +0.097%/t+1.06/d1209  U -0.104%/t-1.27/d1212  T +0.091%/t+1.46/d 630
  dxy       D1 S +0.160%/t+1.57/d1211  U -0.324%/t-3.91/d1212  T +0.243%/t+3.79/d 630
  vix      D10 S -0.261%/t-2.77/d1212  U -0.393%/t-4.48/d1212  T +0.179%/t+2.82/d 630
  vix       D1 S -0.278%/t-3.13/d1212  U +0.074%/t+0.88/d1212  T +0.291%/t+4.16/d 630

=== plain beta deciles (is it just a factor-exposure premium?) ===
  usdinr   beta D10 S +0.099%/t+1.00/d1205  U -0.046%/t-0.49/d1206  T +0.243%/t+3.64/d 630
  brent    beta D10 S -0.338%/t-3.46/d1212  U -0.336%/t-4.37/d1212  T +0.208%/t+3.04/d 630
  gold     beta D10 S -0.019%/t-0.19/d1212  U -0.153%/t-1.91/d1212  T +0.070%/t+1.04/d 630
  copper   beta D10 S -0.004%/t-0.04/d1212  U -0.385%/t-4.92/d1212  T +0.082%/t+1.14/d 630
  spx      beta D10 S -0.025%/t-0.24/d1212  U +0.154%/t+2.04/d1212  T +0.257%/t+3.85/d 630
  ndx      beta D10 S -0.002%/t-0.02/d1212  U -0.058%/t-0.75/d1212  T +0.123%/t+1.88/d 630
  dxy      beta D10 S +0.203%/t+2.06/d1208  U -0.351%/t-4.30/d1212  T +0.151%/t+2.13/d 630
  vix      beta D10 S -0.296%/t-3.35/d1212  U -0.290%/t-3.59/d1212  T +0.039%/t+0.58/d 630
